District Number,District,School,Address,Latitude,Longitude,Test-takers: 2012,Test-takers: 2013,Test-takers: Change%,Participation Rate (estimate): 2012,Participation Rate (estimate): 2013,Participation Rate (estimate): Change%,Percent Meeting Benchmark: 2012,Percent Meeting Benchmark: 2013,Percent Meeting Benchmark: Change%
2136112,Regional 13,Coginchaug Regional High School,"Coginchaug Regional High School, CT",41.4768822,-72.6692571,116,128,0.10,0.82,0.91,0.09,0.49,0.55,0.06
2146112,Regional 14,Nonnewaug High School,"Nonnewaug High School, CT",41.5583302,-73.1897652,159,162,0.02,0.82,0.83,0.01,0.50,0.56,0.06
2156212,Regional 15,Pomperaug High School,"Pomperaug High School, CT",41.5025524,-73.1610296,292,276,-0.05,0.91,0.86,-0.05,0.63,0.62,-0.01
2166012,Regional 16,Woodland Regional High School,"Woodland Regional High School, CT",41.4255144,-73.0825742,147,143,-0.03,0.71,0.69,-0.02,0.39,0.44,0.05
2176112,Regional 17,Haddam-Killingworth High School,"Haddam-Killingworth High School, CT",41.464471,-72.5615717,155,135,-0.13,0.86,0.75,-0.11,0.45,0.46,0.01
2186112,Regional 18,Lyme-old Lyme High School,"Lyme-old Lyme High School, CT",41.3185646,-72.3250615,82,95,0.16,0.81,0.94,0.13,0.65,0.64,-0.01
2196112,Regional 19,Edwin O Smith High School,"Edwin O Smith High School, CT",41.8028078,-72.2443372,216,247,0.14,0.66,0.76,0.10,0.67,0.69,0.02
2415114,Capitol Region Education Council,Greater Hartford Academy Mathematics and Science,"Greater Hartford Academy Mathematics and Science, CT",41.8955164,-72.6532279,22,40,0.82,1.00,1.00,0.00,0.73,0.55,-0.18
2415214,Capitol Region Education Council,CREC - Public Safety Academy Interdistrict Magnet School,"CREC - Public Safety Academy Interdistrict Magnet School, CT",41.9480544,-72.5999146,13,22,0.69,0.87,1.00,0.13,0.00,0.00,0.00
2416114,Capitol Region Education Council,Metropolitan Leaning Center Magnet School,"Metropolitan Leaning Center Magnet School, CT",41.8707894,-72.7266739,66,88,0.33,0.90,1.00,0.10,0.32,0.22,-0.10
2416314,Capitol Region Education Council,Great Path Academy at Manchester Community College,"Great Path Academy at Manchester Community College, CT",41.7613718,-72.5605992,71,73,0.03,1.00,1.00,0.00,0.14,0.12,-0.02
2416414,Capitol Region Education Council,Greater Hartford Academy of the Arts,"Greater Hartford Academy of the Arts, CT",41.7510704,-72.6838407,75,80,0.07,0.83,0.89,0.06,0.27,0.26,-0.01
2456014,LEARN,Connecticut River Academy,"Connecticut River Academy, CT",41.74963,-72.6435964,*,*,*,*,*,*,*,*,*
2456214,LEARN,Three Rivers Middle College Magnet School,"Three Rivers Middle College Magnet School, CT",41.5093334,-72.0984231,*,*,*,*,*,*,*,*,*
2536014,Eastern Connecticut Regional Educational Service C,Arts at the Capital Theatre Performing Arts Magnet,"Arts at the Capital Theatre Performing Arts Magnet, CT",41.7122098,-72.2161144,25,19,-0.24,0.76,0.58,-0.18,0.28,0.32,0.04
2536114,Eastern Connecticut Regional Educational Service C,Quinebaug Valley Middle College High School,"Quinebaug Valley Middle College High School, CT",41.8260067,-71.8883866,*,13,*,*,0.38,*,*,0.23,*
2686113,Common Ground High,Common Ground High School,"Common Ground High School, CT",41.3381619,-72.959558,23,25,0.09,1.00,1.00,0.00,0.22,0.24,0.02
2696113,The Bridge Academy District,Bridge Academy Charter School,"Bridge Academy Charter School, CT",41.184048,-73.1842439,33,36,0.09,0.89,0.97,0.08,0.06,0.06,0.00
2726113,Explorations District,Explorations Charter School,"Explorations Charter School, CT",41.9294257,-73.0757866,*,*,*,*,*,*,*,*,*
2795113,Amistad Academy District,Amistad Academy,"Amistad Academy, CT",41.311167,-72.937866,34,31,-0.09,1.00,1.00,0.00,0.32,0.39,0.07
2826013,Stamford Academy,Stamford Academy,"Stamford Academy, CT",41.0593697,-73.5364836,11,*,*,0.28,*,*,0.00,*,*
9001116,Connecticut Technical High School System,Bullard Havens Technical High School,"Bullard Havens Technical High School, CT",41.1998945,-73.1637422,127,129,0.02,0.64,0.65,0.01,0.00,0.02,0.02
9001216,Connecticut Technical High School System,Henry Abbott Technical High School,"Henry Abbott Technical High School, CT",41.4136865,-73.4544617,80,63,-0.21,0.50,0.40,-0.10,0.10,0.16,0.06
9001316,Connecticut Technical High School System,Harvard H Ellis Technical High School,"Harvard H Ellis Technical High School, CT",41.81902,-71.894179,28,29,0.04,0.22,0.23,0.01,0.18,0.21,0.03
9001416,Connecticut Technical High School System,Eli Whitney High School,"Eli Whitney High School, CT",41.3420336,-72.9420807,76,31,-0.59,0.65,0.26,-0.39,0.00,0.00,0.00
9001516,Connecticut Technical High School System,Albert I Prince Technical High School,"Albert I Prince Technical High School, CT",41.7416983,-72.7057918,92,88,-0.04,0.58,0.55,-0.03,0.01,0.00,-0.01
9001616,Connecticut Technical High School System,Howell Cheney Technical High School,"Howell Cheney Technical High School, CT",41.781937,-72.5615473,80,74,-0.08,0.56,0.52,-0.04,0.14,0.12,-0.02
9001716,Connecticut Technical High School System,Horace C Wilcox Technical High School,"Horace C Wilcox Technical High School, CT",41.5291331,-72.83092,126,105,-0.17,0.62,0.52,-0.10,0.13,0.14,0.01
9001816,Connecticut Technical High School System,Vinal Technical High School,"Vinal Technical High School, CT",41.5282037,-72.6745955,36,57,0.58,0.29,0.45,0.16,0.17,0.09,-0.08
9001916,Connecticut Technical High School System,E C Goodwin Technical High School,"E C Goodwin Technical High School, CT",41.6864745,-72.8056092,38,62,0.63,0.30,0.49,0.19,0.08,0.06,-0.02
9002016,Connecticut Technical High School System,Norwich Technical High School,"Norwich Technical High School, CT",41.5495998,-72.0778441,51,64,0.25,0.34,0.42,0.08,0.22,0.17,-0.05
9002216,Connecticut Technical High School System,Oliver Wolcott Technical High School,"Oliver Wolcott Technical High School, CT",41.8110188,-73.1121249,64,79,0.23,0.39,0.48,0.09,0.23,0.27,0.04
9002316,Connecticut Technical High School System,Warren F Kaynor Technical High School,"Warren F Kaynor Technical High School, CT",41.575529,-73.066431,99,113,0.14,0.57,0.65,0.08,0.10,0.08,-0.02
9002416,Connecticut Technical High School System,Windham Technical High School,"Windham Technical High School, CT",41.7198896,-72.2203153,83,79,-0.05,0.61,0.59,-0.02,0.12,0.14,0.02
9002516,Connecticut Technical High School System,Emmett Obrien Technical High School,"Emmett Obrien Technical High School, CT",41.3350595,-73.0648908,51,38,-0.25,0.39,0.29,-0.10,0.12,0.05,-0.07
9002616,Connecticut Technical High School System,Platt Technical High School,"Platt Technical High School, CT",41.2496685,-73.0464059,120,116,-0.03,0.56,0.54,-0.02,0.13,0.18,0.05
9002716,Connecticut Technical High School System,E. T. Grasso Technical High School,"E. T. Grasso Technical High School, CT",41.340947,-72.0169418,59,57,-0.03,0.40,0.38,-0.02,0.19,0.05,-0.14
9016122,Norwich Free Academy,Norwich Free Academy,"Norwich Free Academy, CT",41.536985,-72.082522,399,356,-0.11,0.70,0.63,-0.07,0.48,0.46,-0.02
9026122,The Gilbert School,Gilbert School,"Gilbert School, CT",41.9306359,-73.07244,60,54,-0.10,0.71,0.64,-0.07,0.37,0.26,-0.11
9036122,Woodstock Academy,Woodstock Academy,"Woodstock Academy, CT",41.951017,-71.975534,215,227,0.06,0.76,0.80,0.04,0.50,0.47,-0.03
9999999,State,,,,,"* 29,790","* 30,032",0.01,0.73,0.73,0.01,0.44,0.45,0.01
