,,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,text1,text2,text3,text4,text5,text6,text7,text8,text9,text10,text11,text12,text13,text14,text15,text16,text17,text18,text19,text20,text21,text22,text23,text24,text25,text26,text27,text28,text29,text30,text31,text32,text33,text34,text35,text36,text37,text38,text39,text40,text41,text42,text43,text44,text45,text46,text47,text48,text49,text50,text51,text52,text53,text54,text55,text56,text57,text58,text59,text60,text61,text62,text63,text64,text65,text66,text67,text68,text69,text70,text71,text72,text73,text74,text75,text76,text77,text78,text79,text80,text81,text82,text83,text84,text85,text86,text87,text88,text89,text90,text91,text92,text93,text94,text95,text96,text97,text98,text99,text100,text101,text102,text103,text104,text105,text106,text107,text108,text109,text110,text111,text112,text113,text114
21,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ALLVETSADVOCATE,1086,TRUE,FALSE,NA,NA,RT,@ScottPresler:,For,as,long,as,I,live,I'll,never,forget,watching,Judge,Brett,Kavanaugh,pleading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",barbjsully,143,TRUE,FALSE,NA,NA,RT,@pollsofpolitics:,Have,the,#Democrats,gone,to,far,trying,to,block,@realDonaldTrump's,#SCOTUS,pick,#Kavanaugh,from,confirmation???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sachsau1,202,TRUE,FALSE,NA,NA,RT,@edhenry:,New,from,Mark,Judge,#kavanaugh,https://t.co/kt5x0t90X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",A_Anderson1991,57,TRUE,FALSE,NA,NA,RT,@activist_mommy:,Couldn't,resist!,<U+0001F60F><U+0001F609>,#GrahamSlam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DC1031,1086,TRUE,FALSE,NA,NA,RT,@ScottPresler:,For,as,long,as,I,live,I'll,never,forget,watching,Judge,Brett,Kavanaugh,pleading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VickiMDonovan,2,TRUE,FALSE,NA,NA,RT,@meyers_andi:,@realDonaldTrump,Time,to,enact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mathers_georgia,1,TRUE,FALSE,NA,NA,RT,@MrsErinEWilson:,@coleyworld,@balancedlogic,I,truly,dislike,anyone,that,comes,off,as,smug,&amp,entitled.,I,am,offended,by,the,disrespectful<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jojay1982,14,TRUE,FALSE,NA,NA,RT,@VeteransAlways:,<U+0001F3AF><U+0001F3AF>,TRUTH,<U+0001F3AF><U+0001F3AF>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",capn_marc,57,TRUE,FALSE,NA,NA,RT,@activist_mommy:,Couldn't,resist!,<U+0001F60F><U+0001F609>,#GrahamSlam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",lomitalady,1086,TRUE,FALSE,NA,NA,RT,@ScottPresler:,For,as,long,as,I,live,I'll,never,forget,watching,Judge,Brett,Kavanaugh,pleading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
